企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
泾阳县太平综合机械修造厂,91610423580784250M,1989-01-01,集体所有制,郭全民,"7万人民币","农业机械、木制农具、木制家俱、钢木家俱的制造、修理、加工及运输服务。",陕西,西咸新区,"陕西省西咸新区空港新城太平镇柳村街"
延川县禹居供销合作社,91610622223600855R,1989-01-01,集体所有制,沙建华,"50万人民币","烟花【C】、爆竹【C】；化肥、农药、农地膜、百货、针棉、五金交电、日杂用品销售，农副产品收购、加工，养殖*（凭许可证明文件或批准证书在有效期内经营，未经许可不得经营）（依法须经批准的项目，经相关部门批准后方可开展经营活动）",陕西,延安,"陕西省延安市延川县陕西省延安市延川县禹居镇"
维美德造纸机械技术(西安)有限公司,91610000623100112A,1989-01-03,N/A,Kari Mooses Humalajoki,"1,450(万美元)","生产和销售造纸、纸浆机械零部件，并提供相关配套服务。",陕西,西安,"陕西省西安市未央区阿房四路"
三原县安乐供销社荣合分店生产棉布门市部,91610422MA6TGQB61W,1989-01-05,集体分支机构(非法人),曹方斌,"N/A","化肥、农药、地膜、日杂、瓷器、农具",陕西,咸阳,"陕西省咸阳市三原县安乐镇荣合村"
宝鸡市渭滨区秦旺机械修理厂,91610302MA6TGY5Q9D,1989-01-05,个人独资企业,杨文军,"N/A","小五金、铆焊、包装箱、机械电器修理、小铸造。",陕西,宝鸡,"陕西省宝鸡市渭滨区高家镇政府西侧"
泾阳县桥底棉绒加工厂,91610423MA6TGPAR4B,1989-01-10,集体所有制,宋智孝,"114万人民币","籽棉、皮棉、棉短绒的收购、调运、储存、加工。",陕西,咸阳,"泾阳县桥底镇"
山阳县生产资料公司,9161102422341848X7,1989-01-10,N/A,杨建波,"174(万)","化肥、农具、农膜",陕西,商洛,"山阳县城关镇苍龙路"
西安市灞桥区官厅供销合作社生产资料门市部,91610111MA6U2XEK91,1989-01-28,集体分支机构(非法人),何引尚,"N/A","日用杂品,煤油,机械油,3#钙基脂",陕西,西安,"西安市电厂西路"
千阳县电影发行放映公司,91610328221580280H,1989-01-28,N/A,郑彦斌,"9(万)","城乡数字电影，胶片电影放映。",陕西,宝鸡,"陕西省宝鸡市千阳县城关镇东大街2号"
陕西恒瑞水利水电工程公司,91610300221407613R,1989-01-28,N/A,杨彬,"2,200(万)","水利、电力工程、隧道、公路桥梁工程。水利水电工程施工总承包二级;机电设备安装、修试、建筑机械、设备租赁；房屋租赁；场地租赁。",陕西,宝鸡,"陕西省宝鸡市金台区卧龙寺车站南侧路东1号"
西安市灞桥区灞桥供销合作社康家门市部,91610136MA6U30JH1A,1989-01-28,集体分支机构(非法人),刘品茹,"N/A","许可经营项目：预包装食品兼散装食品、乳制品",陕西,西安,"西安市康家村"
