企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
西北铝业有限责任公司,916211002255100017,1980-06-20,有限责任公司 私营企业,李勇,"36700万人民币","铝、铝镁材加工销售；铝材精深加工销售；铝焊材生产销售；货物进出口贸易（国家法律、行政法规禁止的除外，国家法律、行政法规规定需取得许可证后经营的，取得许可证后经营）；铝材副产品、卷闸、铝灰加工；停车服务；计量器具鉴定；房屋、土地、设备租赁；住宿、道路普通货物运输、一类汽车维修经营业务（整车修理，总成...",甘肃,定西,"甘肃省定西市陇西县西郊坪"
天水市麦积区牛背绿缘养殖农民专业合作社,93620503MA72851R6T,1980-06-23,N/A,周春东,"43(万元人民币)","砖、瓦※",甘肃,天水,"甘肃省天水市麦积区东岔镇牛背村一组"
天水市麦积区农田丰龙种植农民专业合作社,93620503MA73WDPH04,1980-06-23,N/A,周春东,"43(万元人民币)","砖、瓦※",甘肃,天水,"甘肃省天水市麦积区三岔镇黄龙村五组"
天水市秦州区绿康翔丰种养殖农民专业合作社,93620502MA735NAL8N,1980-06-23,N/A,周春东,"43(万元人民币)","砖、瓦※",甘肃,天水,"甘肃省天水市秦州区玉泉镇孙家坪村县家路25号"
天水市秦州区鑫福源种养殖农民专业合作社,93620502MA72Q4TY77,1980-06-23,N/A,周春东,"43(万元人民币)","砖、瓦※",甘肃,天水,"甘肃省天水市秦州区汪川镇闫家沟村"
甘肃省国营酒泉拖拉机配件厂,916209002970050550,1980-08-20,国有企业,孙镇江,"1554万人民币","拖拉机配件、空实腹金属门窗、ＰＶＣ塑钢门窗及装饰板、立柱新式串型暖气片、铝合金门窗、防盗安全门的加工、制造；机械设备修理、其它电子元件、零件；彩电、冰箱、自动保护器、摩托车电瓶自动充电器的加工、制造；场地租赁；房屋租赁；设备租赁。",甘肃,酒泉,"甘肃省酒泉市肃州区祁连路３５号"
中国能源建设集团西北电力建设甘肃工程有限公司,916200002243321438,1980-08-22,N/A,孙超,"10,000(万元人民币)","工业与民用建筑的项目总承包及施工总承包；火力、风力、水力、核能、太阳能、天然气、生物质发电厂和变电站、输电线路等工程的土建、安装施工、监理及各类机组设施的调试、检修、维护；承包国外招标工程项目，对境外工程派遣劳务人员及设备、材料、技术进出口；工业锅炉、压力容器、金属结构、电器仪表、高压管道、风电塔筒等设备的制作、加工、安装；公路、桥梁、防腐保温、环保工程施工；商品混凝土加工、土方与地基处理；建筑消防设施安装、施工、调试和室内外装饰装修；特种作业取证培训、进网电工取证培训、焊接培训、金属检测实验、建材检验、技术服务；各类起重设备的安装与拆卸；设备租赁、设备吊装；废旧物资销售。",甘肃,兰州,"甘肃省兰州市安宁区银安东路110号"
中车集团兰州七四三七工厂有限公司,916201022244346096,1980-09-05,N/A,李煜,"N/A","汽车修理、轮胎翻新、汽车保养设备及汽车配件制造；仓储；汽车销售",甘肃,兰州,"甘肃省兰州市城关区东岗东路1066号"
通渭县中川苗木种植农民专业合作社,93621121MA72FNLK32,1980-10-19,N/A,柴官良,"42(万元人民币)","住宿、餐饮（凭许可证经营）***",甘肃,定西,"甘肃省定西市通渭县碧玉乡小河村缪中川社"
中车集团天水七四五二工厂,91620503224940384Q,1980-10-23,N/A,刘宇辉,"N/A","汽车修理；汽车配件及汽车发动机制造；山地拖拉机生产、销售；拖拉机拖车制造；钢门钢窗的加工；自卸车的改装；销售进口汽车配件、化工产品（不含易燃易爆剧毒危险品）、二、三类机电产品、农机配件；碳化装置生产；CNG车用气瓶安装改造维修；草莓种植、销售；房屋、场地租赁（依法须经批准的项目，经相关部门批准后方可开展经营活动）***",甘肃,天水,"甘肃省天水市麦积区马跑泉东路"
