企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
厦门市壹品颐林园林景观有限公司,91350213MA32HGGM2A,2019-03-01,有限责任公司,郑文团,"108万人民币","园林景观和绿化工程施工；其他未列明土木工程建筑（不含须经许可审批的事项）；园林景观和绿化工程设计；钢结构工程施工；太阳能光伏系统施工；其他未列明建筑安装业；建筑装饰业；未列明的其他建筑业；其他未列明服务业",福建,厦门,"厦门市翔安区马巷镇巷南三里6号201室"
国建海丝（福建）建设有限公司,91350521MA32HGPY80,2019-03-01,有限责任公司,陆晶,"1099万人民币","建筑装修装饰工程专业承包相应资质等级承包工程范围的工程施工；市政公用工程施工总承包相应资质等级承包工程范围的工程施工；建筑机电安装工程专业承包相应资质等级承包工程范围的工程施工；水利水电机电安装工程专业承包相应资质等级承包工程范围的工程施工；防水防腐保温工程专业承包相应资质等级承包工程范围的工程施工...",福建,泉州,"福建省泉州台商投资区洛阳镇前园村洛阳创业园二楼JY330"
厦门新露生物科技有限公司,91350211MA32HGT562,2019-03-01,有限责任公司,张标林,"100万人民币","生物技术推广服务；工程和技术研究和试验发展；糕点、糖果及糖类散装食品批发（不含冷藏冷冻食品）；糕点、糖果及糖类预包装食品批发（不含冷藏冷冻食品）；酒、饮料及茶叶类预包装食品零售（不含冷藏冷冻食品）；酒、饮料及茶叶类散装食品零售（不含冷藏冷冻食品）；其他未列明散装食品批发（不含冷藏冷冻食品）；...",福建,厦门,"厦门市集美区同集南路301号中铁海新大厦A栋1709室"
厦门德隆全物业管理有限公司,91350213MA32HFBU30,2019-03-01,有限责任公司,洪秋凤,"30万人民币","物业管理；自有房地产经营活动；其他未列明房地产业；建筑物清洁服务；其他未列明服务业（不含需经许可审批的项目）；其他未列明信息技术服务业（不含需经许可审批的项目）；其他未列明专业技术服务业（不含需经许可审批的事项）；水产品冷冻加工；其他水产品加工；蔬菜加工；水果和坚果加工；其他未列明农副食品加工；...",福建,厦门,"厦门市翔安区新店镇新兴街118号201"
厦门美桔乐活健康科技有限公司,91350200MA32HE7T7J,2019-03-01,有限责任公司 港、澳、台,竺国基,"30万元人民币","其他未列明科技推广和应用服务业;生物技术推广服务;新材料技术推广服务;其他技术推广服务;化妆品及卫生用品批发;服装批发;化妆品及卫生用品零售;其他未列明批发业(不含需经许可审批的经营项目);其他文化用品批发;文具用品批发;其他家庭用品批发;...经营各类商品和技术的进出口(不另附进出口商品目录),但国家限定公司经营或禁止...",福建,厦门,"中国(福建)自由贸易试验区厦门片区象屿路97号厦门国际航运中心D栋8层05单元X"
厦门乐鸿坤涂装工程有限公司,91350206MA32HFQE8P,2019-03-01,有限责任公司,陈昆明,"1300万人民币","未列明的其他建筑业；建筑工程技术咨询（不含造价咨询）；房屋建筑业；园林景观和绿化工程施工；其他未列明土木工程建筑",福建,厦门,"厦门市湖里区高新技术园钟岭路1-3号恒亿大厦六楼601单元"
厦门伍仟院房产行销策划有限公司,91350203MA32HFFT0W,2019-03-01,有限责任公司,何明峰,"500万人民币","房地产中介服务（不含评估）；其他未列明房地产业；房地产租赁经营；物业管理；提供企业营销策划服务；其他未列明商务服务业",福建,厦门,"厦门市思明区仙阁里128号510室"
厦门宸颐平服饰有限公司,91350203MA32HEAB9M,2019-03-01,有限责任公司,李海浪,"100万人民币","服装批发；鞋帽批发；纺织品、针织品及原料批发；服装零售；纺织品及针织品零售；鞋帽零售；服饰制造；针织或钩针编织服装制造；机织服装制造；专业化设计服务；其他未列明专业技术服务业（不含需经许可审批的事项）；其他家庭用品批发；其他未列明批发业（不含需经许可审批的经营项目）；经营各类商品和技术的进出口（不另...",福建,厦门,"厦门市思明区龙山南路123号万物工场J2-13铺位"
厦门蚂蚁搬货科技集团股份有限公司,91350200MA32HEBC3E,2019-03-01,股份有限公司,董耀杰,"100万人民币","供应链管理；其他未列明商务服务业（不含需经许可审批的项目）；数据处理和存储服务；信息技术咨询服务；软件开发；数字内容服务；呼叫中心（不含需经许可审批的项目）；其他未列明科技推广和应用服务业；其他未列明服务业（不含需经许可审批的项目）；纺织品、针织品及原料批发；服装批发；化妆品及卫生用品批发；...",福建,厦门,"厦门市软件园二期望海路51号601室之二"
厦门众多非壹科技有限公司,91350200MA32HEXT20,2019-03-01,有限责任公司,汤莉莉,"100万元人民币","其他未列明科技推广和应用服务业;专业化设计服务;信息技术咨询服务;数据处理和存储服务;花卉种植;建筑装饰业;软件开发;信息系统集成服务;集成电路设计;数字内容服务;呼叫中心(不含需经许可审批的项目);其他未列明信息技术服务业(不含需经许可审批的项目)。",福建,厦门,"中国(福建)自由贸易试验区厦门片区嘉崎一里嘉福花园39号111室"
