企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
石河子市巴士出租车服务有限公司,91659001722357407U,2001-01-03,N/A,俞雷,"10(万元人民币)","普通货物运输、危险货物运输。小客车出租服务；汽车美容与清洗。；五金、交电，日用百货，化工产品，农副产品的销售。",新疆,石河子,"新疆石河子市东小路21小区145栋9--1号"
乌鲁木齐诺力康生物工程有限公司,91650100722357028H,2001-01-03,N/A,王浩清,"100(万元人民币)","许可经营项目：（具体经营项目和期限以有关部门的批准文件或颁发的行政许可证书为准）：保健食品诺力康牌牛初乳胶囊生产",新疆,乌鲁木齐,"新疆乌鲁木齐经济技术开发区口岸路49号B栋2单元601室"
新疆绿大地钢结构工程有限公司绿大地彩钢压型板厂,91650100710708927X,2001-01-03,N/A,陈少波,"N/A","彩板压型板的生产及销售。",新疆,乌鲁木齐,"新疆乌鲁木齐高新技术产业开发区(新市区)长沙路158号"
新疆大唐人工程造价咨询有限公司,9165400372235381XR,2001-01-06,N/A,张洪玲,"100(万)","建设项目投资估算，工程概预算、结算、决算的编制和审核，工程招标标底和标书造价的编制和审核，受委托对工程建设中有关造价事项的经济评估。工程招标代理。",新疆,伊犁哈萨克,"新疆伊犁州奎屯市明镜园37幢1单元161号"
乌鲁木齐屹基石化有限公司,91650121722361510X,2001-01-08,N/A,陈老丑,"1,618(万)","许可经营项目：销售:汽油，压缩气，柴汽机油,柴油，代办铁路东调手续。一般经营项目：重芳烃、轻蜡油、蜡油清罐油、溶剂油、三号喷汽燃料油、石油焦、灯油、重油、沥青、纯苯、石油苯、渣油、机械油、石脑油、中性油、油浆、凝析油的加工销售；石蜡；代购，代储，代运，代销；汽车清洗。",新疆,乌鲁木齐,"新疆乌鲁木齐市北京南路946号"
博尔塔拉蒙古自治州艾比湖大酒店有限公司,91652700722357781H,2001-01-08,N/A,王树文,"12,420.4900(万)","许可经营项目：（具体经营项目及期限以有关部门的批准文件或颁发的许可证、资质证书为准）住宿、饮食服务、保龄球、桑拿浴；烟酒、副食品、打字、复印。一般经营项目：",新疆,博尔塔拉,"博乐市北京路295号"
新疆欣文媒体投资(集团)有限公司,91650000722364252A,2001-01-08,N/A,李琦,"1,217.0640(万元人民币)","农业、餐饮业的投资；报刊投递服务；计算机网络的开发；文化业、环保业的投资；会务、会展的组织与服务；设计、制作、发布灯箱、路牌、霓虹灯广告；代理广播、影视、网络、报纸广告；代理发布《新疆经济报》、《都市消费晨报》、《青年快报》的广告；房屋租赁；承办体育赛事；房产经纪服务。",新疆,乌鲁木齐,"新疆乌鲁木齐高新技术产业开发区苏州东街466号7-2-201室"
乌鲁木齐江山装饰工程有限公司,91650100722359250M,2001-01-08,N/A,李伟,"138(万)","可承担单位工程造价600万元以下建筑的室内、室外装饰工程的设计和施工；建筑材料，水暖器材，汽车配件，机电产品（除小轿车），装饰装潢材料，服装鞋帽的销售；工艺美术品",新疆,乌鲁木齐,"新疆乌鲁木齐市新市区北京南路26号"
喀什万利摩托车有限公司,91653101734441542Y,2001-01-08,N/A,麦亥木提·吾吉,"50(万)","销售：摩托车、电动车及配件、五金交电、电子产品。",新疆,喀什,"新疆喀什地区喀什市远方建材市场内"
和布克赛尔蒙古自治县江格尔旅游投资发展有限公司,916542266702477581,2001-01-08,N/A,董叶军,"30,000(万)","向旅游行业的投资与管理；旅游景区管理；旅游纪念品制作及销售；文化艺术交流及策划；影视策划咨询。",新疆,塔城,"新疆塔城地区和布克赛尔县和布克赛尔镇二区赛尔北街江格尔综合民贸市场195号"
伊宁市边境合作区新联外贸有限公司,91654002726973055F,2001-01-08,N/A,何春云,"66(万)","自营和代理各类商品和技术的进出口",新疆,伊犁哈萨克,"新疆伊犁州伊宁市经济合作区北京路28号江南春城北京路1-28轴"
乌鲁木齐市创流宝商贸有限公司,91650103722359656A,2001-01-10,N/A,马创湖,"50(万元人民币)","不锈钢厨具、酒店用品、日用百货、家用电器、工艺品、针织品、服装、化妆品、洗涤用品的销售；货物与技术的进出口业务。",新疆,乌鲁木齐,"新疆乌鲁木齐市沙依巴克区仓房沟北路339号金源紫东苑小区1栋3单元701室"
乌鲁木齐金太阳物资有限责任公司,91650100228885271E,2001-01-10,N/A,张荣贵,"1,000(万元人民币)","房屋租赁；仓储服务；企业形象策划；大棚制作；销售：金属材料、不锈钢制品、建材、五金交电、机电设备、文化体育用品、矿产品；货物与技术的进出口业务；代理报关、报检，边境小额贸易；农畜产品、棉籽收购、销售。",新疆,乌鲁木齐,"新疆乌鲁木齐市新市区太兴路380号"
霍城县惠远镇康惠粮油加工厂,92654023L031358197,2001-01-10,个体工商户,马英俊,"N/A","面粉加工销售。饲料加工及零售。",新疆,伊犁哈萨克,"新疆伊犁州霍城县惠远镇湟渠村"
吐鲁番市浪涛电子有限责任公司,91650402722359891B,2001-01-10,N/A,阿不都热西库·阿不都,"50(万)","家用电器,电子产品,广播电视器材,通信器材,计算机及配件,房屋租赁,家电修理。",新疆,吐鲁番,"新疆吐鲁番市高昌区老城路16号"
奇台县腾飞运输有限公司,91652325726962559A,2001-01-10,N/A,张延忠,"100(万)","许可经营项目：汽车客货运输、县内公共汽车出租及经营管理。一般经营项目：汽车及汽车配件销售；房屋出租；汽车运输服务及代办手续。",新疆,昌吉,"新疆昌吉州奇台县城青年街"
石河子市群志塑料包装材料有限公司,91659001722361721Q,2001-01-10,N/A,张明根,"56.9000(万)","生产塑料丝及编织品，纸塑复合制品，纸制包装袋，塑料打包袋；原料再生；编织袋印刷。",新疆,石河子,"新疆石河子市北三路西工业区市场西26后院"
呼图壁县创一商贸有限责任公司,91652323722366602W,2001-01-11,N/A,孙风雷,"30(万元人民币)","饮料【瓶（桶）装饮用水类",新疆,昌吉,"新疆昌吉州呼图壁县东风路153号"
乌鲁木齐益运货物运输有限公司,91650100722363874J,2001-01-11,N/A,朱莎,"200(万)","货物运输，装卸搬运，货运信息服务。",新疆,乌鲁木齐,"新疆乌鲁木齐市沙依巴克区西环中路29号汇鑫花苑1栋608室"
新疆青松建材化工(集团)股份有限公司阿克苏经销部,91652900710893632L,2001-01-11,N/A,文丽,"N/A","水泥、加气砼、磷肥销售。",新疆,阿克苏,"新疆阿克苏地区阿克苏市南大街1-5号"
乌鲁木齐市盈科创业贸易有限公司,91650103722360681L,2001-01-11,N/A,鲁长智,"100(万元人民币)","销售：防爆电器，矿山机械设备，电线电缆，劳保用品，仿真植物，工艺品，日用百货，土产日杂，机械设备，计算机及耗材，机电产品，仪器仪表，化工产品及化学试剂，汽车配件，橡胶制品，石油制品，建材，家用电器，针纺织品，通讯器材,油田钻井设备，金属材料，电子产品，五金交电，照明设备，塑料制品；商务信息咨询服务，社会经济咨询服务，专业技术咨询服务。",新疆,乌鲁木齐,"新疆乌鲁木齐市沙依巴克区钱塘江路17号"
