企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
陕西长乐旅游汽车公司,91610000220527728C,1985-01-01,N/A,朱振兴,"200(万)","五金交电、通讯设备",陕西,西安,"西安市金康路25号副1号"
陕西省国际信托股份有限公司,91610000220530273T,1985-01-05,N/A,薛季民,"396,401.2846(万)","资金信托；动产信托；不动产信托；有价证券信托；其他财产或财产权信托；作为投资基金或者基金管理公司的发起人从事投资基金业务；经营企业资产的重组、购并及项目融资、公司理财、财务顾问等业务；受托经营国务院有关部门批准的证券承销业务；办理居间、咨询、资信调查等业务；代保管及保管箱业务；以存放同业、拆放同业、贷款、租赁、投资方式运用固有财产；以固有财产为他人提供担保；从事同业拆借；法律法规规定或中国银行业监督管理委员会批准的其他业务。",陕西,西安,"陕西省西安市高新区科技路50号金桥国际广场C座"
陕西西乡水晶坪锰业有限公司,916107242227008620,1985-01-08,N/A,董庆斌,"1,000(万)","锰矿石开采、加工、销售；货物运输；矿产品购销（依法须经批准的项目，经相关部门批准后方可开展经营活动）",陕西,汉中,"陕西省汉中市西乡县堰口镇田坝村"
陕西省宝鸡市盐业总公司,91610300221307305B,1985-01-09,N/A,董智慧,"1,124.8000(万)","五金交电、化工（除专控）、建筑装饰材料、普通机械、电气机械、食盐、工业盐、畜牧用盐及其它盐产品、日化用品、农副土特产品、工艺美术品",陕西,宝鸡,"陕西省宝鸡市渭滨区广元路1号"
汉中市第二糖酒副食总公司,9161070222257013XX,1985-01-11,N/A,李俊中,"186(万)","预包装食品批发兼零售。",陕西,汉中,"陕西省汉中市汉台区中学巷36号"
周至县终南供销社东关综合经营部,91610124MA6U2WR99Q,1985-01-12,集体经营单位(非法人),张国富,"N/A","一般经营项目：化肥，农药",陕西,西安,"周至县终南镇东关"
陕棉十二厂劳动服务公司纺织机械配件加工厂,91610303221302352E,1985-01-14,集体所有制,鱼秦渭,"62万人民币","纺织机械配件、纺织。",陕西,宝鸡,"宝鸡市新风巷5号"
宝鸡市中奥商贸有限责任公司,91610302221342565L,1985-01-14,N/A,谢军,"150.0033(万)","自有房屋出租；家电、建筑材料、农副产品的销售；家禽养殖；蔬菜种植。",陕西,宝鸡,"陕西省宝鸡市渭滨区建国路117号楼2层2号"
陕西省第十二棉纺织厂劳动服务公司,916103032213031012,1985-01-16,N/A,崔伟,"11(万)","针纺织品加工、纺织器材及配件加工、服装加工、纺织机械加工；日用百货、棉纱棉布、五金工具、电料电工、仪器、建材、化工产品（除专控产品）、烟（零售）酒副食和餐饮",陕西,宝鸡,"陕西省宝鸡市金台区新风巷8号"
扶风县天度塑料编织厂,916103242214912615,1985-01-16,集体所有制,梁小明,"11.2万人民币","麻塑编织、塑料再生、手套加工、商标印制、塑料加工。",陕西,宝鸡,"陕西省宝鸡市扶风县天度街道"
延长县黑家堡供销合作社,916106212235704066,1985-01-20,集体所有制,王奇,"17.5万人民币","农业生产资料(化肥 农药 农膜 种子)百货 五金交电 化工 副食烟酒 土产日杂（依法须经批准的项目，经相关部门批准后方可开展经营活动）",陕西,延安,"陕西省延安市延长县黑家堡村"
宝鸡市民政彩印厂,91610302294694318B,1985-01-25,集体所有制,梁中英,"800万人民币","出版物印刷、包装装潢印刷品印刷、其他印刷品印刷；广告设计、制作、代理、发布国内各类广告；印制材料零售。",陕西,宝鸡,"陕西省宝鸡市渭滨区益门农校河西（无门牌号）"
宝鸡百翔机电设备制造有限公司,916103022213461798,1985-01-29,N/A,张汉林,"450(万)","液压设备、液压缸、汽缸、石油钻机绞车、传动专用设备、电气设备、机电产品",陕西,宝鸡,"陕西省宝鸡市渭滨区西宝路59号"
安康市自来水公司,91610902222942394X,1985-01-29,N/A,万忠生,"1,653(万)","自来水销售，管道安装、维修。(依法须经批准的项目，经相关部门批准后方可开展经营活动）",陕西,安康,"陕西省安康市汉滨区金州广场北侧"
中国工商银行股份有限公司岚皋县支行,91610925223100228U,1985-02-02,N/A,吴凡,"N/A","办理人民币存款、贷款；同业拆借、国内外结算；办理票据承兑、贴现；各类汇兑业务；代理资金清算；提供信用证服务及担保；代理销售业务；代理发行、代理承销、代理兑付政府债券；代收代付业务；代理证券资金清算业务",陕西,安康,"陕西省安康市岚皋县城关镇新街"
国营宝成通用电子公司宝成包装制品厂,9161030222130389XB,1985-02-07,集体所有制,赵立文,"137万人民币","纸箱制造、淀粉粘合剂,木制包装制品制造；纸箱商标印刷；机械设备加工制造；钣金制造；场地租赁。",陕西,宝鸡,"陕西省宝鸡市渭滨区清姜西三路6号"
宝鸡环保技术公司,91610302221301325Y,1985-02-07,N/A,穆安林,"30(万)","环保新技术推广；环保工程设计、施工；污染源治理、环保技术咨询；环保仪器、污水治理设备、消烟除尘设备、防腐工程材料、仪表阀门、化学试剂",陕西,宝鸡,"陕西省宝鸡市渭滨区西凤路（原体育路）46号"
蒲城县电影发行放映公司,91610526222390796P,1985-02-07,N/A,蒋宏岗,"15(万)","电影发行放映、电影宣传品、电影器材销售、维修。",陕西,渭南,"陕西省渭南市蒲城县延安路西段62号"
渭南市临渭区官路乡面粉加工厂,916105027521453255,1985-02-12,集体所有制,吝界民,"13.85万人民币","面粉加工及销售",陕西,渭南,"临渭区官路乡官路南街"
中国农业银行股份有限公司宁陕县支行,91610923223040640B,1985-02-15,N/A,符书鹏,"250(万元人民币)","办理人民币存贷款、结算业务；办理委托贷款业务；办理票据承兑、贴现；代理发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券、金融债券；代理收付款项及代理保险业务；网上银行、电话银行业务；人民币理财业务；开放式基金代理销售；资金信托代理业务；咨询、见证业务；同业拆借；办理银行卡业务；提供信用证服务及担保；提供保险箱业务；办理经中国银行业监督管理委员会批准的其他金融业务",陕西,安康,"陕西省安康市宁陕县城关镇长安西街4号"
中国工商银行股份有限公司安康分行,91610900748642986J,1985-03-02,N/A,杨永生,"N/A","办理人民币存款、贷款；同业拆借业务；国内外结算；办理票据承兑、贴现、转贴现；各类汇兑业务；提供信用证服务及担保；代理发行、承销、兑付政府债券；代收代付业务；代理证券资金清算业务(银证转帐)；代理保险业务；保管箱服务；企业年金帐户管理服务；开放式基金的注册登记、认购、申购和赎回业务；资信调查、咨询、见证业务；贷款承诺；委托贷款业务；企业、个人财务顾问服务；外汇存款、贷款、汇款、外币兑换；银行卡业务；电话银行、网上银行、手机银行业务；办理结汇、售汇业务；经国务院银行业监督管理机构批准的其他业务。",陕西,安康,"陕西省安康市汉滨区解放路16号"
宝鸡市木材综合加工总厂,916103032213055885,1985-03-08,内资企业法人,金振玉,"483.2万人民币","人造板零售、建筑模板、支架、机具租赁。",陕西,宝鸡,"陕西省宝鸡市金台区卧龙寺（未编门牌号）"
陕西煤炭建设公司第一矿建工程处,9161020022114303XF,1985-03-12,N/A,宋培章,"N/A","煤炭矿山工程建筑（依法须经批准的项目，经相关部门批准后方可开展经营活动）",陕西,铜川,"陕西省铜川市王益区黄堡"
汉中市第一饮食服务公司东风照相馆,91610702222571255J,1985-03-15,N/A,夏宏伟,"5.2300(万)","照相，洗印；照相器材、摄影书报、音响器材、工艺品零售。",陕西,汉中,"陕西省汉中市汉台区北团结街东门商城7号楼209-213号"
周至县纺织品公司百文商店,91610124MA6U2UAF43,1985-03-15,N/A,王林,"N/A","针纺织品、百货、五金交电、服装；文化用品（颜料）",陕西,西安,"周至县老城西街6号"
泾阳县电影放映发行公司,91611102773843579P,1985-03-15,N/A,杨林,"11(万)","电影片发行、电影机器配件修理服务，百货、日杂零售（依法须经批准的项目，经相关部门批准后方可开展经营活动）",陕西,西咸新区,"陕西省西咸新区泾河新城中心街东段7号"
陕西宏远建设(集团)有限公司,91610900661182382K,1985-03-20,N/A,张根章,"10,008.5850(万)","房屋建筑工程(总承包一级)、市政公用工程(总承包二级)、公路工程(总承包二级)及室内装饰(乙级)的施工；机电设备、起重机械的安装；水利水电工程（总承包三级）、钢结构工程（专业承包三级）、地基与基础工程（专业承包三级）、园林古建筑",陕西,安康,"陕西省安康市汉滨区大桥南路30号"
中国彩虹电子进出口有限公司,91610000220532754N,1985-03-21,N/A,张君华,"504.3000(万)","自营和代理各类商品和技术的进出口业务（国家限定或禁止公司经营的商品和技术除外）；承办来料加工、来样加工、来件装配业务和补充贸易、转口贸易、经批准的易货贸易业务;经营时销贸易业务和租赁项目的进出口业务;承办对外贸易;展销;承办本企业中外合资、合作生产、三业一补、与主营业务有关的储运、仓储业务;维修服务及信息技术咨询、培训、服务；工业和居民动能生产及供应，技术服务和咨询；新能源技术推广服务及技术咨询；计算机、网络设备、网络安全产品、软件、计算机配件、成品油、酒类、食品、日用百货的销售；计算机及网络系统集成，软件开发服务；物业管理，物业租赁；铁路货物运输、运输代理服务；普通货物运输（危险品除外）；物流服务",陕西,咸阳,"陕西省咸阳市秦都区彩虹路1号彩虹内招二楼"
陕西方泰建设工程有限公司,9161030272733399X6,1985-03-22,N/A,李来虎,"12,180(万)","建筑工程施工总承包；市政公用工程、钢结构工程、装饰装修工程、公路工程、公路路面工程、公路路基工程、水利水电工程、园林古建工程、机电设备安装工程、土地整理工程、河道治理工程、水库清淤工程、铁路施工工程、园林古建文物修缮修复工程、消防设施工程、地基基础工程、环保工程、园林绿化工程、体育场地及设施专业承包工程、城市与道路照明工程、桥梁工程、电力工程、化工石油工程、通信工程、矿山工程、土石方工程、堤防工程、拆除工程、建筑智能化工程、桥梁隧道工程的施工及维护；建筑劳务分包；工程信息咨询服务；建筑设备租赁；管道工程安装维护。",陕西,宝鸡,"陕西省宝鸡市渭滨区公园路7号院16幢12层"
陕西建工第六建设集团有限公司,91610000220523751W,1985-03-22,N/A,李继涛,"30,000(万)","建筑安装、市政公用、水利水电、公路、机电安装、钢结构、建筑装饰装璜、地基基础、古建筑、园林绿化、消防设施工程施工；钢结构制作、安装、设计；起重设备安拆工程；考古文物钻探；市政、桥梁工程",陕西,咸阳,"陕西省咸阳市渭城区人民东路33号"
西安市阎良区蔬菜公司,91610114220943641E,1985-03-25,N/A,王惠琴,"26(万)","日杂销售；房屋租赁。(上述经营范围涉及许可经营项目的，凭许可证明文件或批准证书在有效期内经营，未经许可不得经营）",陕西,西安,"阎良区人民东路177号"
渭南市华州区工业品公司,91610521222270233H,1985-03-27,集体所有制,李建文,"50万人民币","五金交电、家电、钢木家具、百货、文体用品、手机、电话机、传真机、传呼、通讯器材及配件、烟酒副食、日杂、纺织品、服装、家电、通讯器材维修。农副产品、建筑材料、中小农具、摩托车、化肥、地膜、农药、成品粮油、劳保用品。",陕西,渭南,"陕西省渭南市华州区军民南路12号"
吝店供销社,91610502222193717A,1985-03-28,N/A,王兴武,"167.7500(万)","百货、针织品、布、文化用品、烟洒、袋装食品、日杂、化肥、农药、农膜的销售；农副产品收购。",陕西,渭南,"陕西省渭南市临渭区吝店街道"
渭南市临渭区田市供销合作社,91610502222193696R,1985-03-28,集体所有制,李忠心,"28.9万人民币","百货针织、五金交电、土产日杂、化肥、农药、农膜、干鲜果品的销售、农副产品的收购（依法须经批准的项目，经相关部门批准后方可开展经营活动）",陕西,渭南,"陕西省渭南市临渭区田市镇街"
渭南市临渭区辛市供销合作社,916105942221937413,1985-03-28,集体所有制,李同生,"25.7万人民币","日用百货、针纺织品、烟酒、糕点、糖果、罐头、五金工具、建筑五金、自行车、家用电器、音响设备、日杂用品、干蔬菜品，农药、化肥、农地膜、农副产品、废品回收、建筑材料。",陕西,渭南,"陕西省渭南市经济技术开发区辛市街"
宝鸡西铁建设工程质量检测试验有限公司,91610303221300525H,1985-03-29,N/A,赵永科,"250.6900(万)","工程质量检测；晒图；建材试验；勘察设计；房屋租赁；设备租赁。",陕西,宝鸡,"陕西省宝鸡市金台区东风路西段(无门牌号)"
