企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
玛曲县卓玛加欧拉羊养殖农民专业合作社,93623025057599229W,2013-01-01,N/A,卓玛加,"250()","欧拉羊养殖、育肥、出售***",甘肃,甘南,"甘肃省甘南州玛曲县欧拉秀玛乡卡尔科行政村一队"
兰州沂河春商贸有限公司,916201020575981112,2013-01-04,N/A,董亚莉,"500(万元人民币)","茶叶及茶具、农副产品（不含粮食等国家限制产品）、办公用品、日用百货、劳保用品、金属材料（不含贵稀有金属）、水暖器材、仪器仪表、五金交电、建筑材料、通信设备（不含卫星地面接收设施）、家用电器的批发零售；室内装饰装修。",甘肃,兰州,"甘肃省兰州市城关区段家滩1135号"
兰州宏怡物资有限公司,916201030606057577,2013-01-04,N/A,龚琳,"100(万元人民币)","金属材料、钢材、不锈钢材料、建筑材料、机械设备及配件、化工产品",甘肃,兰州,"甘肃省兰州市七里河区西津西路464号零售区10栋207室"
中国三峡新能源公司西北分公司,9162010506060165XM,2013-01-04,N/A,王鹏,"50(万元人民币)","在公司经营范围内负责风能、太阳能的开发、投资；清洁能源、水利、水电、电力、供水、清淤、滩涂围垦、环境工程、种植业、养殖业；机械成套设备及配件的制造、销售；承包境内水利电力工程和国际招标工程；与上述业务相关的技术、信息咨询服务",甘肃,兰州,"甘肃省兰州市安宁区北滨河西路833号(黄河印象商务大厦第1幢7层"
兰州华庆电子科技有限公司,91620102060601860W,2013-01-04,N/A,李再新,"300(万元人民币)","家用电器、服装、劳保用品、低压成套开关设备、汽车配件、通信设备、通信器材（以上两项不含卫星地面接收设施）、安防设备、消防设备、办公用品、LED产品、液晶显示屏的批发零售；计算机综合布线、室内外装饰工程、建筑智能化工程。",甘肃,兰州,"甘肃省兰州市城关区东岗东路1681号瑞德摩尔20号楼E座708室"
兰州力京物资有限公司,9162010306060691XR,2013-01-04,N/A,刘伟,"500(万元人民币)","金属材料、建筑材料、化工产品(不含化学危险品)、五金交电、机电产品(不含小轿车)、装饰材料、通用设备、橡胶制品、矿山设备、劳保用品、日用百货、水泥、办公设备的批发零售。",甘肃,兰州,"甘肃省兰州市七里河区西津西路464号零售区9栋东218号"
兰州东润创鑫企业管理有限公司,91620102057597063G,2013-01-04,N/A,宋飞,"3,000(万元人民币)","企业管理咨询、商务信息咨询、工程项目开发及评估咨询；市场营销策划；会议会展服务；计算机软件的设计、开发；货物及技术的进出口业务（国家限定或禁止进出口商品及技术除外）。",甘肃,兰州,"甘肃省兰州市城关区段家滩路704号创意文化产业园D区4楼"
中国人寿保险股份有限公司白银市白银区支公司水川镇营销服务部,91620402MA71T51F1C,2013-01-04,N/A,陆建蕾,"N/A","对营销员开展培训及日常管理;收取营销员代收的保险费、投保单等单证;分发保险公司签发的保险单,保险收据等相关单证;接受客户的咨询、投诉;经公司授权、营销服务部从事部分险种的勘察理赔。",甘肃,白银,"甘肃省白银市白银区水川镇金沟口"
中国水电顾问集团敦煌光伏发电有限公司,916209820606013857,2013-01-04,N/A,郝军,"11,800(万元人民币)","太阳能及风力等新能源的开发；投资建设、经营；风力、太阳能发电及电力销售",甘肃,酒泉,"甘肃省酒泉市敦煌市七里镇光电产业示范园区"
兰州玖惠商贸有限公司,91620103060608915X,2013-01-04,N/A,刘玮,"50(万元人民币)","烟草的零售，预包装食品兼散装食品、乳制品（不含婴幼儿配方乳粉）",甘肃,兰州,"甘肃省兰州市七里河区火星街288号"
